m_id,kakao_sms,kakao_sms_agree_date,kakao_mailling,kakao_mailling_agree_date,kakao_app_push,kakao_app_push_date,kakao_dm,kakao_dm_date,kakao_tm,kakao_tm_date,db_sms,db_sms_agree_date,db_mailling,db_mailling_agree_date,db_app_push,db_app_push_agree_date,db_dm,db_dm_agree_date,db_tm,db_tm_agree_date
kakao_905222728,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_893929146,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_892070295,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_893462732,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_923848995,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_903119753,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_899597610,y,2022-02-20T00:46:15Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,y,2022-02-20T00:46:15Z,y,2022-02-20 00:46:15,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,y,2022-02-20 00:46:15
kakao_911671447,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_896223113,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_902870015,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_927091929,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_919244637,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,y,2021-06-17T05:34:48Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,y,2021-06-17 05:34:48,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_934783596,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_917471205,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_916500200,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_912280367,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_925807347,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_931214506,y,2021-08-13T08:46:53Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,y,2021-08-13T08:46:53Z,y,2021-08-13T08:46:53Z,y,2021-08-13 08:46:53,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,y,2021-08-13 08:46:53,y,2021-08-13 08:46:53
kakao_934776315,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
